User_ID,Region,Cohort,Games_Played,Hours_Played,Days_Active,Active_Rate,Average_Games_Per_Day,Game_Age_Days,Payment_Method,Declines,Payouts,Checkouts,WMR_Automation_Flag,Offer_Taken,ReRepair_7D,ReRepair_30D,ReRepair_90D,Data_Refreshed_CSDW,Data_Refreshed_LENS
USR000047,ROLA,Ultimate,64,28.14,3,0.96,21.333333333333332,400,Crypto,1,489.88,18,Yes,No,3,8,3,5PM,8AM
USR000048,Canada,PCGP_3F1,53,13.61,31,0.7,1.7096774193548387,766,Gift Card,3,251.96,10,Yes,Yes,1,5,14,5PM,8AM
USR000049,ROLA,PCGP_3F1,55,133.04,2,0.97,27.5,980,Gift Card,0,216.21,17,No,No,4,7,1,5PM,8AM
USR000050,ROLA,Ultimate,19,165.55,7,0.46,2.7142857142857144,278,PayPal,1,221.18,8,No,No,3,6,12,5PM,8AM
USR000051,Brazil,PCGP_3F1,22,114.07,8,0.74,2.75,459,Credit Card,1,213.38,16,Yes,No,0,7,10,5PM,8AM
USR000052,USA,PCGP_3F1,65,108.15,2,0.74,32.5,686,Gift Card,1,171.4,1,No,No,4,7,13,5PM,8AM
USR000053,Brazil,Past_Offers_1,67,55.13,12,0.58,5.583333333333333,302,Debit Card,1,429.93,6,Yes,Yes,3,4,10,5PM,8AM
USR000054,ROLA,Past_Offers_2,57,173.11,3,0.4,19.0,766,Crypto,1,179.09,14,Yes,No,0,8,2,5PM,8AM
USR000055,ROLA,Past_Offers_2,32,105.19,5,0.14,6.4,639,Crypto,2,335.58,8,No,Yes,3,1,1,5PM,8AM
USR000056,Canada,Past_Offers_1,99,142.25,27,0.54,3.6666666666666665,613,Gift Card,0,476.67,5,Yes,Yes,1,4,10,5PM,8AM
USR000057,Canada,Past_Offers_1,52,143.19,20,0.73,2.6,755,Credit Card,2,277.81,13,Yes,Yes,2,9,3,5PM,8AM
USR000058,Canada,Past_Offers_1,2,118.46,13,0.74,0.15384615384615385,780,PayPal,4,464.53,3,No,No,4,8,2,5PM,8AM
USR000059,USA,Ultimate,74,15.69,23,0.96,3.217391304347826,496,PayPal,3,499.44,17,Yes,No,0,0,7,5PM,8AM
USR000060,Canada,PCGP_3F1,3,123.1,17,0.43,0.17647058823529413,697,Gift Card,4,259.0,5,Yes,No,0,9,5,5PM,8AM
USR000061,Mexico,Past_Offers_2,16,177.86,12,0.29,1.3333333333333333,671,Credit Card,3,331.73,16,No,No,3,5,13,5PM,8AM
USR000062,ROLA,Past_Offers_2,96,109.96,8,0.19,12.0,213,Gift Card,1,341.73,5,Yes,Yes,2,3,1,5PM,8AM
USR000063,Brazil,Past_Offers_2,45,71.34,15,0.43,3.0,642,PayPal,2,468.66,1,Yes,Yes,2,5,1,5PM,8AM
USR000064,ROLA,PCGP_3F1,62,77.99,20,0.33,3.1,426,Crypto,1,183.42,12,Yes,Yes,2,2,3,5PM,8AM
USR000065,USA,Past_Offers_2,41,131.23,26,0.28,1.5769230769230769,323,Crypto,0,420.87,11,Yes,Yes,4,4,2,5PM,8AM
USR000066,Mexico,Past_Offers_2,25,90.19,24,0.5,1.0416666666666667,647,PayPal,2,25.17,2,No,No,4,9,8,5PM,8AM
USR000067,ROLA,PCGP_3F1,64,115.33,31,0.31,2.064516129032258,832,Debit Card,1,393.4,16,Yes,Yes,1,8,9,5PM,8AM
USR000068,Canada,Past_Offers_1,18,184.54,15,0.2,1.2,430,Debit Card,1,314.97,5,No,No,0,0,2,5PM,8AM
USR000069,USA,PCGP_3F1,28,72.48,7,0.4,4.0,338,PayPal,3,344.09,18,Yes,No,0,6,6,5PM,8AM
USR000070,Canada,Past_Offers_1,87,81.74,29,0.37,3.0,747,Gift Card,1,252.85,3,Yes,Yes,1,5,14,5PM,8AM
USR000071,USA,PCGP_3F1,12,192.44,1,0.96,12.0,380,PayPal,1,384.06,12,Yes,No,2,3,5,5PM,8AM
USR000072,USA,PCGP_3F1,9,72.13,6,0.21,1.5,473,PayPal,4,442.6,7,Yes,No,1,5,7,5PM,8AM
USR000073,ROLA,Ultimate,9,142.89,19,0.63,0.47368421052631576,191,Gift Card,3,452.63,16,Yes,No,4,5,5,5PM,8AM
USR000074,Mexico,Past_Offers_2,10,184.12,14,0.56,0.7142857142857143,564,Credit Card,3,270.58,5,No,No,3,2,3,5PM,8AM
USR000075,ROLA,PCGP_3F1,51,122.67,24,0.33,2.125,34,Crypto,1,130.14,13,No,Yes,2,7,3,5PM,8AM
USR000076,ROLA,PCGP_3F1,9,26.13,19,0.75,0.47368421052631576,210,PayPal,1,413.67,18,No,No,1,1,8,5PM,8AM
USR000077,Brazil,Past_Offers_2,56,92.08,20,0.82,2.8,381,Gift Card,1,323.51,4,Yes,No,1,7,10,5PM,8AM
USR000078,Mexico,Ultimate,33,114.68,30,0.67,1.1,192,Gift Card,4,22.19,1,Yes,Yes,3,8,14,5PM,8AM
USR000079,Canada,Past_Offers_2,99,49.09,22,0.16,4.5,782,PayPal,1,351.02,15,Yes,No,2,3,3,5PM,8AM
USR000080,ROLA,Past_Offers_2,67,26.38,13,0.36,5.153846153846154,824,Debit Card,4,98.77,5,No,Yes,2,9,1,5PM,8AM
USR000081,Brazil,Past_Offers_2,36,4.01,31,0.89,1.1612903225806452,322,Credit Card,2,25.32,13,No,No,1,5,9,5PM,8AM
USR000082,ROLA,PCGP_3F1,80,24.97,23,0.41,3.4782608695652173,635,Gift Card,0,432.78,4,Yes,No,0,6,4,5PM,8AM
USR000083,USA,Past_Offers_2,97,50.3,26,0.23,3.730769230769231,736,PayPal,0,313.57,15,Yes,Yes,4,3,4,5PM,8AM
USR000084,Mexico,Past_Offers_2,30,45.86,31,0.76,0.967741935483871,988,PayPal,1,353.48,18,Yes,Yes,3,3,12,5PM,8AM
USR000085,USA,Past_Offers_1,71,125.52,2,0.92,35.5,498,Crypto,3,203.34,7,Yes,Yes,1,5,0,5PM,8AM
USR000086,Mexico,PCGP_3F1,30,30.71,13,0.29,2.3076923076923075,639,PayPal,4,301.72,16,Yes,No,4,8,4,5PM,8AM
USR000087,Brazil,Past_Offers_1,35,156.72,2,0.91,17.5,427,PayPal,2,110.35,1,Yes,No,2,5,3,5PM,8AM
USR000088,ROLA,Past_Offers_1,13,57.18,3,0.53,4.333333333333333,846,Crypto,0,219.53,16,No,No,1,3,3,5PM,8AM
USR000089,USA,Ultimate,79,197.22,31,0.15,2.5483870967741935,767,Crypto,4,126.2,4,No,No,0,7,0,5PM,8AM
USR000090,Brazil,Past_Offers_2,36,75.3,16,0.95,2.25,44,Credit Card,4,80.93,15,Yes,Yes,0,4,9,5PM,8AM
USR000091,Canada,PCGP_3F1,53,94.22,26,0.77,2.0384615384615383,92,Crypto,2,259.12,4,Yes,No,3,5,4,5PM,8AM
USR000092,Brazil,PCGP_3F1,30,170.33,8,0.56,3.75,959,Credit Card,0,284.21,11,Yes,No,3,4,8,5PM,8AM
USR000093,Mexico,Past_Offers_1,41,119.77,17,0.8,2.411764705882353,987,PayPal,2,148.33,14,Yes,No,3,8,4,5PM,8AM
USR000094,Brazil,PCGP_3F1,22,142.98,3,0.6,7.333333333333333,119,Crypto,2,197.45,18,Yes,Yes,2,0,9,5PM,8AM
USR000095,ROLA,PCGP_3F1,97,160.27,25,0.31,3.88,373,Gift Card,4,434.2,18,Yes,Yes,0,2,7,5PM,8AM
USR000096,USA,Past_Offers_1,22,17.45,14,0.18,1.5714285714285714,364,Crypto,4,82.22,13,No,Yes,0,4,3,5PM,8AM
USR000097,Mexico,Past_Offers_2,71,195.78,16,0.53,4.4375,355,Debit Card,2,211.15,2,No,Yes,0,8,10,5PM,8AM
USR000098,USA,PCGP_3F1,4,83.68,17,0.4,0.23529411764705882,798,PayPal,2,322.77,10,Yes,No,4,3,0,5PM,8AM
USR000099,Mexico,Past_Offers_2,45,196.42,1,0.45,45.0,33,PayPal,1,205.82,1,Yes,Yes,3,3,14,5PM,8AM
USR000100,USA,PCGP_3F1,64,114.03,26,0.41,2.4615384615384617,753,PayPal,0,234.7,17,Yes,Yes,2,4,3,5PM,8AM
USR000101,Mexico,Past_Offers_2,28,108.36,3,0.26,9.333333333333334,887,Crypto,3,279.87,7,No,Yes,3,0,0,5PM,8AM
USR000102,Canada,Past_Offers_1,38,161.73,30,0.76,1.2666666666666666,476,Credit Card,0,168.61,17,Yes,Yes,0,3,10,5PM,8AM
USR000103,Mexico,Past_Offers_2,63,90.26,23,0.48,2.739130434782609,505,Credit Card,2,372.03,7,Yes,No,3,7,12,5PM,8AM
USR000104,Brazil,PCGP_3F1,77,128.78,10,0.85,7.7,655,Debit Card,0,336.79,12,Yes,Yes,3,7,4,5PM,8AM
USR000105,ROLA,PCGP_3F1,51,100.08,31,0.54,1.6451612903225807,719,Crypto,4,186.46,13,Yes,No,2,6,12,5PM,8AM
USR000106,Mexico,Ultimate,92,194.13,16,0.5,5.75,668,Credit Card,4,183.72,6,Yes,No,3,0,7,5PM,8AM
USR000107,USA,Past_Offers_2,7,170.26,14,0.29,0.5,898,Gift Card,4,319.73,19,No,No,3,8,8,5PM,8AM
USR000108,Brazil,Ultimate,35,177.74,26,0.51,1.3461538461538463,59,PayPal,0,388.12,2,Yes,Yes,0,1,4,5PM,8AM
USR000109,Brazil,Past_Offers_2,48,108.4,3,0.3,16.0,271,Crypto,3,283.63,3,Yes,No,2,6,13,5PM,8AM
USR000110,ROLA,PCGP_3F1,59,144.49,13,0.81,4.538461538461538,384,Debit Card,2,162.53,15,No,No,1,5,0,5PM,8AM
USR000111,Mexico,Past_Offers_1,25,37.67,13,0.67,1.9230769230769231,464,Credit Card,4,232.39,13,Yes,Yes,0,3,5,5PM,8AM
USR000112,ROLA,PCGP_3F1,9,169.94,21,0.12,0.42857142857142855,626,Credit Card,2,140.62,5,Yes,No,2,7,0,5PM,8AM
USR000113,USA,Past_Offers_2,41,14.94,25,0.34,1.64,617,PayPal,0,110.93,12,No,No,4,6,11,5PM,8AM
USR000114,USA,Past_Offers_1,70,97.53,13,0.82,5.384615384615385,581,Credit Card,1,219.51,6,Yes,No,0,6,5,5PM,8AM
USR000115,Brazil,Past_Offers_2,48,34.54,18,0.15,2.6666666666666665,975,Credit Card,1,185.53,16,No,No,4,7,12,5PM,8AM
USR000116,USA,Past_Offers_1,54,37.01,16,0.27,3.375,526,Debit Card,3,195.78,13,No,Yes,4,0,2,5PM,8AM
USR000117,Canada,Ultimate,75,99.94,7,0.84,10.714285714285714,438,Gift Card,2,175.97,16,Yes,No,4,7,12,5PM,8AM
USR000118,USA,Past_Offers_1,39,117.74,11,0.45,3.5454545454545454,471,Crypto,1,420.64,14,No,Yes,2,7,12,5PM,8AM
USR000119,Mexico,Past_Offers_2,78,145.51,27,0.22,2.888888888888889,52,Debit Card,0,200.1,8,Yes,Yes,4,3,6,5PM,8AM
USR000120,Brazil,Past_Offers_1,63,37.33,10,0.18,6.3,397,Debit Card,1,224.19,7,Yes,Yes,1,7,5,5PM,8AM
USR000121,ROLA,Ultimate,97,76.17,31,0.46,3.129032258064516,709,Crypto,2,21.07,10,No,Yes,0,9,11,5PM,8AM
USR000122,Mexico,Ultimate,46,84.14,9,0.34,5.111111111111111,454,Debit Card,3,105.27,10,Yes,No,4,4,5,5PM,8AM
USR000123,USA,Past_Offers_2,54,93.79,12,0.6,4.5,816,Gift Card,0,310.98,4,Yes,No,4,6,3,5PM,8AM
USR000124,USA,Past_Offers_2,38,26.79,16,0.26,2.375,606,Credit Card,4,74.78,13,Yes,No,1,0,4,5PM,8AM
USR000125,Canada,PCGP_3F1,37,80.25,2,0.6,18.5,103,Debit Card,4,384.19,2,Yes,No,4,0,13,5PM,8AM
USR000126,ROLA,Past_Offers_2,42,125.89,21,0.36,2.0,449,Gift Card,0,78.37,19,Yes,Yes,4,7,0,5PM,8AM
USR000127,Brazil,PCGP_3F1,39,133.36,18,0.62,2.1666666666666665,565,Gift Card,0,305.17,17,Yes,Yes,0,4,9,5PM,8AM
USR000128,Brazil,Past_Offers_1,88,73.87,2,0.2,44.0,285,Gift Card,0,197.29,2,Yes,Yes,1,1,9,5PM,8AM
USR000129,ROLA,Past_Offers_2,22,22.18,16,0.95,1.375,47,Gift Card,3,499.37,19,Yes,Yes,4,7,9,5PM,8AM
USR000130,Mexico,Past_Offers_2,40,158.82,23,0.55,1.7391304347826086,903,Credit Card,0,76.89,7,Yes,Yes,1,8,14,5PM,8AM
USR000131,Brazil,Ultimate,11,47.12,24,0.68,0.4583333333333333,747,Credit Card,3,436.55,14,Yes,Yes,0,0,4,5PM,8AM
USR000132,Brazil,Ultimate,19,15.62,29,0.14,0.6551724137931034,136,PayPal,1,121.61,13,Yes,Yes,1,5,3,5PM,8AM
USR000133,Brazil,Ultimate,38,83.69,22,0.91,1.7272727272727273,159,PayPal,1,478.73,5,No,No,0,4,11,5PM,8AM
USR000134,USA,PCGP_3F1,44,53.43,30,0.84,1.4666666666666666,180,Credit Card,0,210.6,11,No,Yes,1,5,2,5PM,8AM
USR000135,Brazil,Past_Offers_1,24,142.71,26,0.95,0.9230769230769231,267,PayPal,2,472.77,11,Yes,No,0,0,9,5PM,8AM
USR000136,Brazil,Past_Offers_2,63,11.84,13,0.33,4.846153846153846,966,Credit Card,4,283.61,10,Yes,Yes,3,3,0,5PM,8AM
USR000137,Canada,Ultimate,24,191.91,28,0.38,0.8571428571428571,333,Debit Card,3,427.98,10,No,Yes,3,1,2,5PM,8AM
USR000138,Brazil,PCGP_3F1,4,36.12,3,0.9,1.3333333333333333,343,PayPal,1,370.09,7,Yes,No,0,3,2,5PM,8AM
USR000139,Mexico,Past_Offers_2,37,59.98,15,0.31,2.466666666666667,903,Credit Card,2,315.83,2,No,Yes,4,2,2,5PM,8AM
USR000140,ROLA,PCGP_3F1,12,100.28,3,0.9,4.0,349,Gift Card,0,93.69,5,Yes,No,3,5,4,5PM,8AM
USR000141,Brazil,Past_Offers_1,71,152.8,24,0.28,2.9583333333333335,684,Credit Card,3,17.38,17,Yes,Yes,0,7,12,5PM,8AM
USR000142,Brazil,Past_Offers_2,70,61.86,21,0.74,3.3333333333333335,229,PayPal,4,492.73,3,Yes,No,2,9,14,5PM,8AM
USR000143,USA,Ultimate,65,160.09,1,0.9,65.0,242,Credit Card,3,55.59,16,Yes,No,4,0,11,5PM,8AM
USR000144,Brazil,Past_Offers_2,75,12.9,31,0.99,2.4193548387096775,174,Crypto,4,26.65,8,Yes,No,3,3,3,5PM,8AM
USR000145,Canada,Past_Offers_2,72,195.02,1,0.74,72.0,376,PayPal,1,347.45,2,Yes,Yes,0,7,1,5PM,8AM
USR000146,Mexico,PCGP_3F1,10,186.64,4,0.47,2.5,388,PayPal,2,192.77,7,No,No,2,3,9,5PM,8AM
USR000147,USA,Ultimate,65,57.35,22,0.32,2.9545454545454546,50,PayPal,0,132.4,7,Yes,Yes,2,1,5,5PM,8AM
USR000148,ROLA,PCGP_3F1,29,25.94,16,0.39,1.8125,580,Gift Card,0,488.66,1,Yes,Yes,1,9,0,5PM,8AM
USR000149,Canada,Ultimate,64,81.89,15,0.73,4.266666666666667,782,PayPal,1,471.36,12,Yes,No,1,5,1,5PM,8AM
USR000150,Canada,Ultimate,32,60.09,22,0.37,1.4545454545454546,361,Gift Card,3,62.46,19,Yes,No,0,4,10,5PM,8AM
USR000151,USA,Ultimate,67,191.43,21,0.52,3.1904761904761907,243,PayPal,4,187.87,1,No,No,2,8,5,5PM,8AM
USR000152,Canada,Ultimate,96,32.71,26,0.56,3.6923076923076925,555,Credit Card,0,263.74,16,Yes,Yes,4,3,6,5PM,8AM
USR000153,Brazil,Ultimate,90,156.01,19,0.53,4.7368421052631575,522,PayPal,4,20.14,18,No,No,2,9,7,5PM,8AM
USR000154,Brazil,Past_Offers_2,72,137.01,20,0.74,3.6,561,Gift Card,3,369.11,16,Yes,Yes,4,1,7,5PM,8AM
USR000155,Brazil,Ultimate,95,110.43,6,0.73,15.833333333333334,676,Crypto,0,82.13,17,No,Yes,2,3,10,5PM,8AM
USR000156,USA,Past_Offers_2,15,193.26,25,0.44,0.6,178,PayPal,3,59.55,1,Yes,No,3,1,13,5PM,8AM
USR000157,USA,Past_Offers_1,48,199.98,18,0.87,2.6666666666666665,286,Crypto,3,465.96,11,No,No,3,5,2,5PM,8AM
USR000158,Mexico,Ultimate,94,181.04,18,0.26,5.222222222222222,451,Debit Card,2,262.85,16,Yes,Yes,4,6,14,5PM,8AM
USR000159,Canada,PCGP_3F1,68,51.46,1,0.26,68.0,566,PayPal,2,106.09,11,Yes,No,2,8,6,5PM,8AM
USR000160,ROLA,Past_Offers_1,80,21.17,30,0.39,2.6666666666666665,859,Debit Card,2,321.81,12,Yes,No,2,2,12,5PM,8AM
USR000161,USA,Past_Offers_2,65,6.67,15,0.75,4.333333333333333,570,Debit Card,0,403.63,3,Yes,Yes,0,4,4,5PM,8AM
USR000162,ROLA,Ultimate,23,42.34,26,0.4,0.8846153846153846,833,Credit Card,4,194.67,15,Yes,Yes,0,4,14,5PM,8AM
USR000163,ROLA,Past_Offers_1,91,47.09,29,0.41,3.1379310344827585,415,Credit Card,1,261.55,17,No,Yes,0,5,14,5PM,8AM
USR000164,Canada,Past_Offers_1,76,184.05,8,0.19,9.5,91,Crypto,1,395.82,15,Yes,No,2,8,7,5PM,8AM
USR000165,Brazil,Past_Offers_1,22,99.61,2,0.9,11.0,231,PayPal,4,317.96,15,Yes,Yes,0,8,3,5PM,8AM
USR000166,Mexico,Ultimate,78,101.69,12,0.56,6.5,510,Debit Card,3,62.85,18,Yes,No,3,7,7,5PM,8AM
USR000167,Canada,PCGP_3F1,28,76.09,29,0.8,0.9655172413793104,819,Gift Card,3,88.13,8,Yes,No,1,2,8,5PM,8AM
USR000168,Mexico,Past_Offers_1,53,100.24,20,0.39,2.65,945,Crypto,2,127.51,5,Yes,No,2,7,13,5PM,8AM
USR000169,Brazil,PCGP_3F1,16,196.99,27,0.39,0.5925925925925926,245,Credit Card,4,394.5,11,Yes,No,0,4,6,5PM,8AM
USR000170,ROLA,Ultimate,17,78.35,12,0.25,1.4166666666666667,760,Crypto,4,87.7,12,No,No,2,0,13,5PM,8AM
USR000171,USA,Ultimate,14,39.15,25,0.61,0.56,375,Debit Card,4,372.88,9,Yes,No,4,9,7,5PM,8AM
USR000172,Canada,Past_Offers_1,3,20.62,6,0.55,0.5,79,Debit Card,3,47.35,11,Yes,Yes,2,9,0,5PM,8AM
USR000173,USA,Ultimate,23,80.93,2,0.96,11.5,686,Crypto,0,255.77,3,No,No,0,9,14,5PM,8AM
USR000174,Canada,PCGP_3F1,85,125.69,26,0.52,3.269230769230769,322,PayPal,4,402.21,9,No,No,1,7,11,5PM,8AM
USR000175,Brazil,PCGP_3F1,38,129.63,6,0.3,6.333333333333333,979,Debit Card,4,246.67,12,Yes,Yes,3,1,1,5PM,8AM
USR000176,Brazil,Ultimate,47,84.39,30,0.31,1.5666666666666667,283,Debit Card,2,280.66,5,Yes,No,4,5,4,5PM,8AM
USR000177,ROLA,Ultimate,87,186.42,17,0.84,5.117647058823529,336,Credit Card,3,37.02,7,Yes,No,4,8,2,5PM,8AM
USR000178,Mexico,Ultimate,85,135.47,6,0.14,14.166666666666666,923,PayPal,2,109.01,4,Yes,No,1,6,14,5PM,8AM
USR000179,ROLA,Past_Offers_1,13,55.4,10,0.34,1.3,572,Debit Card,0,262.09,2,Yes,Yes,4,8,2,5PM,8AM
USR000180,ROLA,Past_Offers_2,75,178.91,17,0.34,4.411764705882353,803,Credit Card,1,495.39,13,Yes,No,1,1,6,5PM,8AM
USR000181,USA,Past_Offers_2,90,126.23,29,0.67,3.103448275862069,35,Credit Card,3,352.16,10,No,Yes,0,4,8,5PM,8AM
USR000182,Canada,Past_Offers_2,69,90.58,4,0.35,17.25,210,Gift Card,0,183.01,18,Yes,No,0,1,6,5PM,8AM
USR000183,Canada,Past_Offers_2,59,113.89,12,0.86,4.916666666666667,609,Gift Card,4,434.02,15,Yes,No,3,1,8,5PM,8AM
USR000184,USA,PCGP_3F1,47,36.9,7,0.81,6.714285714285714,353,Gift Card,3,205.51,7,No,No,2,8,5,5PM,8AM
USR000185,Canada,Past_Offers_2,12,75.07,16,0.18,0.75,153,Credit Card,3,350.16,9,Yes,Yes,3,4,9,5PM,8AM
USR000186,ROLA,PCGP_3F1,84,178.62,16,0.46,5.25,633,Credit Card,1,432.9,15,Yes,No,2,0,6,5PM,8AM
USR000187,Canada,Past_Offers_2,16,186.0,26,0.58,0.6153846153846154,156,Gift Card,2,242.07,3,Yes,No,4,4,7,5PM,8AM
